,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
12441,41304551,2024-01-12 12:17:02,sell,0.01,eurusd,1.09447,0.0,1.0942,2024-01-12 12:42:08,1.0942,-0.1,0.0,0.0,0.27,147936.61999999924
12446,41304737,2024-01-12 12:24:06,sell,0.01,eurusd,1.09455,0.0,1.0942,2024-01-12 12:42:08,1.0942,-0.1,0.0,0.0,0.35,147970.82999999923
12447,41304775,2024-01-12 12:25:04,sell,0.01,eurusd,1.09476,0.0,1.0942,2024-01-12 12:42:08,1.09421,-0.1,0.0,0.0,0.55,147971.27999999924
12448,41304810,2024-01-12 12:26:02,sell,0.01,eurusd,1.09496,0.0,1.0942,2024-01-12 12:42:08,1.09421,-0.1,0.0,0.0,0.75,147971.92999999924
