,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
2804,41034011,2023-11-30 15:51:03,sell,0.01,eurusd,1.0895,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,-0.74,111622.96000000011
2805,41034021,2023-11-30 15:52:01,sell,0.01,eurusd,1.08973,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,-0.51,111622.3900000001
2806,41034034,2023-11-30 15:53:01,sell,0.01,eurusd,1.09006,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,-0.18,111622.15000000011
2807,41034043,2023-11-30 15:54:04,sell,0.01,eurusd,1.09029,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,0.05,111622.1400000001
2808,41034050,2023-11-30 15:55:08,sell,0.01,eurusd,1.09055,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,0.31,111622.3900000001
2809,41034058,2023-11-30 15:56:03,sell,0.01,eurusd,1.09086,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,0.62,111622.9500000001
2810,41034067,2023-11-30 15:57:01,sell,0.01,eurusd,1.0908,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,0.56,111623.4500000001
2811,41034119,2023-11-30 16:00:15,sell,0.01,eurusd,1.09096,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,0.72,111624.1100000001
2812,41034126,2023-11-30 16:01:04,sell,0.01,eurusd,1.09135,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,1.11,111625.1600000001
2814,41034141,2023-11-30 16:02:01,sell,0.01,eurusd,1.09146,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.06,0.0,0.0,1.22,111626.37000000011
2817,41034198,2023-11-30 16:15:01,sell,0.02,eurusd,1.09159,0.0,1.09024,2023-11-30 16:22:04,1.09024,-0.12,0.0,0.0,2.7,111629.57000000011
