,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
2725,41032872,2023-11-30 13:50:17,sell,0.01,eurusd,1.09191,0.0,1.09157,2023-11-30 13:58:23,1.09157,-0.06,0.0,0.0,0.34,111567.55000000009
2727,41032889,2023-11-30 13:51:01,sell,0.01,eurusd,1.09193,0.0,1.09157,2023-11-30 13:58:23,1.09157,-0.06,0.0,0.0,0.36,111567.38000000009
2728,41032898,2023-11-30 13:52:02,sell,0.01,eurusd,1.09221,0.0,1.09157,2023-11-30 13:58:23,1.09157,-0.06,0.0,0.0,0.64,111567.9600000001
2729,41032916,2023-11-30 13:53:03,sell,0.01,eurusd,1.09222,0.0,1.09157,2023-11-30 13:58:23,1.09157,-0.06,0.0,0.0,0.65,111568.55000000009
