,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
16664,41493116,2024-01-29 20:17:01,buy,0.01,eurusd,1.08351,0.0,1.0837,2024-01-30 00:22:44,1.08369,-0.1,0.0,-0.08,0.18,157984.85999999935
16668,41493355,2024-01-29 20:34:02,buy,0.01,eurusd,1.08342,0.0,1.0837,2024-01-30 00:22:44,1.08369,-0.1,0.0,-0.08,0.27,158014.46999999933
16669,41493391,2024-01-29 20:35:06,buy,0.01,eurusd,1.08332,0.0,1.0837,2024-01-30 00:22:44,1.08369,-0.1,0.0,-0.08,0.37,158014.65999999933
16670,41493428,2024-01-29 20:36:02,buy,0.01,eurusd,1.08318,0.0,1.0837,2024-01-30 00:22:44,1.08368,-0.1,0.0,-0.08,0.5,158014.97999999934
16671,41493472,2024-01-29 20:37:00,buy,0.01,eurusd,1.0832,0.0,1.0837,2024-01-30 00:22:44,1.08368,-0.1,0.0,-0.08,0.48,158015.27999999933
16672,41493510,2024-01-29 20:38:01,buy,0.01,eurusd,1.08305,0.0,1.0837,2024-01-30 00:22:44,1.08369,-0.1,0.0,-0.08,0.64,158015.73999999932
16673,41493547,2024-01-29 20:39:00,buy,0.01,eurusd,1.08303,0.0,1.0837,2024-01-30 00:22:44,1.08369,-0.1,0.0,-0.08,0.66,158016.21999999933
16674,41493624,2024-01-29 21:01:00,buy,0.01,eurusd,1.08293,0.0,1.0837,2024-01-30 00:22:44,1.08368,-0.1,0.0,-0.08,0.75,158016.78999999934
16675,41493670,2024-01-29 21:04:00,buy,0.01,eurusd,1.0828,0.0,1.0837,2024-01-30 00:22:44,1.08369,-0.1,0.0,-0.08,0.89,158017.49999999933
16676,41493707,2024-01-29 21:05:03,buy,0.01,eurusd,1.08275,0.0,1.0837,2024-01-30 00:22:44,1.08369,-0.1,0.0,-0.08,0.94,158018.25999999934
