,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
10121,41216803,2024-01-04 07:43:01,buy,0.01,eurusd,1.09422,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.33,143973.1699999997
10123,41216833,2024-01-04 07:44:03,buy,0.01,eurusd,1.09424,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.31,143969.11999999968
10126,41216880,2024-01-04 07:46:05,buy,0.01,eurusd,1.09424,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.31,143960.9899999997
10127,41216896,2024-01-04 07:47:03,buy,0.01,eurusd,1.09423,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.32,143961.20999999967
10128,41216913,2024-01-04 07:48:06,buy,0.01,eurusd,1.09423,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.32,143961.42999999967
10129,41216929,2024-01-04 07:49:02,buy,0.01,eurusd,1.09398,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.57,143961.89999999967
10130,41216943,2024-01-04 07:50:01,buy,0.01,eurusd,1.09391,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.64,143962.43999999968
10131,41216964,2024-01-04 07:53:01,buy,0.01,eurusd,1.09389,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.66,143962.99999999968
10132,41216981,2024-01-04 07:54:04,buy,0.01,eurusd,1.09386,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.1,0.0,0.0,0.69,143963.58999999968
10133,41216996,2024-01-04 07:55:10,buy,0.01,eurusd,1.09362,0.0,1.09449,2024-01-04 08:15:02,1.09454,-0.1,0.0,0.0,0.92,143964.40999999968
10134,41217010,2024-01-04 07:56:04,buy,0.02,eurusd,1.09361,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.2,0.0,0.0,1.88,143966.08999999968
10135,41217028,2024-01-04 07:57:02,buy,0.02,eurusd,1.09354,0.0,1.09449,2024-01-04 08:15:02,1.09455,-0.2,0.0,0.0,2.02,143967.90999999968
