,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
4558,41072208,2023-12-07 17:43:15,buy,0.01,eurusd,1.08097,0.0,1.08166,2023-12-07 17:50:08,1.08164,-0.06,0.0,0.0,0.67,113735.91000000024
4560,41072230,2023-12-07 17:44:05,buy,0.01,eurusd,1.08106,0.0,1.08166,2023-12-07 17:50:08,1.08164,-0.06,0.0,0.0,0.58,113744.77000000024
4561,41072243,2023-12-07 17:45:28,buy,0.01,eurusd,1.08107,0.0,1.08166,2023-12-07 17:50:08,1.08164,-0.06,0.0,0.0,0.57,113745.28000000023
