,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
8291,41177762,2023-12-27 03:07:08,sell,0.01,eurusd,1.10287,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.92,141067.02000000005
8292,41177771,2023-12-27 03:08:04,sell,0.01,eurusd,1.10293,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.86,141066.06000000006
8293,41177783,2023-12-27 03:11:01,sell,0.01,eurusd,1.10293,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.86,141065.10000000003
8294,41177794,2023-12-27 03:13:04,sell,0.01,eurusd,1.10296,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.83,141064.17000000004
8295,41177800,2023-12-27 03:14:03,sell,0.01,eurusd,1.10298,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.81,141063.26000000004
8296,41177807,2023-12-27 03:15:20,sell,0.01,eurusd,1.10298,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.81,141062.35000000003
8298,41177825,2023-12-27 03:18:07,sell,0.01,eurusd,1.10298,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.81,141060.54000000004
8299,41177832,2023-12-27 03:20:16,sell,0.01,eurusd,1.10302,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.77,141059.67000000004
8300,41177844,2023-12-27 03:22:05,sell,0.01,eurusd,1.10307,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.1,0.0,0.0,-0.72,141058.85000000003
8301,41177851,2023-12-27 03:23:04,sell,0.02,eurusd,1.10314,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.2,0.0,0.0,-1.3,141057.35000000003
8302,41177856,2023-12-27 03:24:01,sell,0.02,eurusd,1.10316,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.2,0.0,0.0,-1.26,141055.89000000004
8303,41177862,2023-12-27 03:25:14,sell,0.02,eurusd,1.10319,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.2,0.0,0.0,-1.2,141054.49000000005
8304,41177870,2023-12-27 03:26:04,sell,0.02,eurusd,1.10319,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.2,0.0,0.0,-1.2,141053.09000000003
8305,41177876,2023-12-27 03:27:02,sell,0.02,eurusd,1.1033,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.2,0.0,0.0,-0.98,141051.91000000003
8306,41177889,2023-12-27 03:31:03,sell,0.02,eurusd,1.10332,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.2,0.0,0.0,-0.94,141050.77000000005
8309,41177936,2023-12-27 03:45:06,sell,0.02,eurusd,1.10342,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.2,0.0,0.0,-0.74,141047.87000000005
8310,41177944,2023-12-27 03:46:02,sell,0.02,eurusd,1.10347,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.2,0.0,0.0,-0.64,141047.03000000003
8311,41177950,2023-12-27 03:47:03,sell,0.03,eurusd,1.10348,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.3,0.0,0.0,-0.93,141045.80000000005
8312,41177959,2023-12-27 03:48:22,sell,0.03,eurusd,1.10356,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.3,0.0,0.0,-0.69,141044.81000000006
8313,41177966,2023-12-27 03:50:06,sell,0.03,eurusd,1.10356,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.3,0.0,0.0,-0.69,141043.82000000004
8314,41177977,2023-12-27 03:52:02,sell,0.03,eurusd,1.10356,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.3,0.0,0.0,-0.69,141042.83000000005
8315,41177984,2023-12-27 03:53:03,sell,0.03,eurusd,1.10355,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.3,0.0,0.0,-0.72,141041.81000000003
8316,41177992,2023-12-27 03:54:02,sell,0.03,eurusd,1.10363,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.3,0.0,0.0,-0.48,141041.03000000003
8317,41177997,2023-12-27 03:55:10,sell,0.03,eurusd,1.10365,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.3,0.0,0.0,-0.42,141040.31000000003
8318,41178004,2023-12-27 03:56:02,sell,0.04,eurusd,1.10364,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.4,0.0,0.0,-0.6,141039.31000000003
8319,41178017,2023-12-27 03:59:06,sell,0.04,eurusd,1.10365,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.4,0.0,0.0,-0.56,141038.35000000003
8320,41178024,2023-12-27 04:01:02,sell,0.04,eurusd,1.10367,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.4,0.0,0.0,-0.48,141037.47000000003
8321,41178033,2023-12-27 04:02:02,sell,0.04,eurusd,1.10365,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.4,0.0,0.0,-0.56,141036.51000000004
8322,41178041,2023-12-27 04:03:03,sell,0.04,eurusd,1.10373,0.0,1.1038,2023-12-27 07:41:16,1.10379,-0.4,0.0,0.0,-0.24,141035.87000000005
