,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
5343,41094339,2023-12-12 10:29:14,buy,0.05,eurusd,1.08037,0.0,1.0804,2023-12-12 12:40:16,1.08035,-0.3,0.0,0.0,-0.1,113373.20000000027
5344,41094356,2023-12-12 10:30:12,buy,0.05,eurusd,1.08024,0.0,1.0804,2023-12-12 12:40:16,1.08036,-0.3,0.0,0.0,0.6,113373.50000000026
5352,41094517,2023-12-12 10:58:03,buy,0.05,eurusd,1.08012,0.0,1.0804,2023-12-12 12:40:16,1.08035,-0.3,0.0,0.0,1.15,116128.20000000027
