,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
13728,41358743,2024-01-17 17:02:05,buy,0.02,eurusd,1.08628,0.0,1.08659,2024-01-17 17:48:16,1.08658,-0.2,0.0,0.0,0.6,151249.49999999942
13729,41358783,2024-01-17 17:04:02,buy,0.02,eurusd,1.08609,0.0,1.08659,2024-01-17 17:48:16,1.0866,-0.2,0.0,0.0,1.02,151250.31999999942
13730,41358823,2024-01-17 17:07:01,buy,0.02,eurusd,1.08612,0.0,1.08659,2024-01-17 17:48:16,1.0866,-0.2,0.0,0.0,0.96,151251.07999999943
13731,41358858,2024-01-17 17:08:02,buy,0.02,eurusd,1.08592,0.0,1.08659,2024-01-17 17:48:16,1.0866,-0.2,0.0,0.0,1.36,151252.23999999944
13734,41359012,2024-01-17 17:30:02,buy,0.02,eurusd,1.0859,0.0,1.08659,2024-01-17 17:48:16,1.0866,-0.2,0.0,0.0,1.4,151231.51999999944
13735,41359049,2024-01-17 17:31:04,buy,0.02,eurusd,1.0859,0.0,1.08659,2024-01-17 17:48:16,1.0866,-0.2,0.0,0.0,1.4,151232.71999999945
13736,41359087,2024-01-17 17:32:07,buy,0.02,eurusd,1.08581,0.0,1.08659,2024-01-17 17:48:16,1.0866,-0.2,0.0,0.0,1.58,151234.09999999945
