,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
2502,41028509,2023-11-30 00:55:29,buy,0.01,eurusd,1.09825,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,-0.27,111277.45000000008
2504,41028529,2023-11-30 00:57:05,buy,0.01,eurusd,1.09829,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,-0.31,111283.98000000008
2505,41028546,2023-11-30 00:58:02,buy,0.01,eurusd,1.09826,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,-0.28,111283.64000000009
2506,41028555,2023-11-30 00:59:03,buy,0.01,eurusd,1.09824,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,-0.26,111283.3200000001
2507,41028564,2023-11-30 01:01:04,buy,0.01,eurusd,1.0981,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,-0.12,111283.14000000009
2508,41028571,2023-11-30 01:02:02,buy,0.01,eurusd,1.09798,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,0.0,111283.08000000009
2509,41028622,2023-11-30 01:12:07,buy,0.01,eurusd,1.09788,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,0.1,111283.12000000008
2510,41028646,2023-11-30 01:16:01,buy,0.01,eurusd,1.09784,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,0.14,111283.20000000008
2511,41028655,2023-11-30 01:17:03,buy,0.01,eurusd,1.09774,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,0.24,111283.38000000009
2512,41028668,2023-11-30 01:18:04,buy,0.01,eurusd,1.09767,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.06,0.0,0.0,0.31,111283.63000000009
2513,41028707,2023-11-30 01:27:08,buy,0.02,eurusd,1.09762,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,0.72,111284.23000000008
2514,41028724,2023-11-30 01:30:04,buy,0.02,eurusd,1.09765,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,0.66,111284.77000000008
2515,41028731,2023-11-30 01:31:01,buy,0.02,eurusd,1.09744,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,1.08,111285.73000000008
2516,41028758,2023-11-30 01:37:02,buy,0.02,eurusd,1.09742,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,1.12,111286.73000000008
2517,41028832,2023-11-30 01:53:02,buy,0.02,eurusd,1.09739,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,1.18,111287.79000000008
2518,41028841,2023-11-30 01:55:04,buy,0.02,eurusd,1.0972,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,1.56,111289.23000000008
2519,41028850,2023-11-30 01:57:02,buy,0.02,eurusd,1.09715,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,1.66,111290.77000000009
2521,41028880,2023-11-30 01:58:04,buy,0.02,eurusd,1.09705,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,1.86,111292.52000000009
2522,41028887,2023-11-30 01:59:01,buy,0.02,eurusd,1.09699,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,1.98,111294.38000000009
2523,41028896,2023-11-30 02:00:23,buy,0.02,eurusd,1.09677,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.12,0.0,0.0,2.42,111296.68000000008
2559,41029973,2023-11-30 05:43:11,buy,0.03,eurusd,1.09664,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.18,0.0,0.0,4.02,111324.94000000009
2560,41029992,2023-11-30 05:45:18,buy,0.03,eurusd,1.09653,0.0,1.09796,2023-11-30 06:41:16,1.09798,-0.18,0.0,0.0,4.35,111329.11000000009
