,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
11482,41260863,2024-01-09 16:51:04,buy,0.01,eurusd,1.0932,0.0,1.09369,2024-01-09 17:27:33,1.09369,-0.1,0.0,0.0,0.49,146415.03999999946
11483,41260932,2024-01-09 16:52:02,buy,0.01,eurusd,1.09304,0.0,1.09369,2024-01-09 17:27:33,1.09369,-0.1,0.0,0.0,0.65,146415.58999999944
11489,41261176,2024-01-09 17:07:06,buy,0.01,eurusd,1.09303,0.0,1.09369,2024-01-09 17:27:33,1.09369,-0.1,0.0,0.0,0.66,146425.98999999947
