,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
16610,41490426,2024-01-29 16:15:02,sell,0.01,eurusd,1.08054,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.1,0.0,0.0,-1.47,157989.0399999993
16611,41490463,2024-01-29 16:16:01,sell,0.01,eurusd,1.08056,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.1,0.0,0.0,-1.45,157987.48999999932
16612,41490528,2024-01-29 16:26:02,sell,0.01,eurusd,1.08054,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.1,0.0,0.0,-1.47,157985.9199999993
16613,41490577,2024-01-29 16:27:02,sell,0.01,eurusd,1.08065,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.1,0.0,0.0,-1.36,157984.45999999932
16614,41490619,2024-01-29 16:28:10,sell,0.01,eurusd,1.08084,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.1,0.0,0.0,-1.17,157983.1899999993
16615,41490656,2024-01-29 16:29:01,sell,0.02,eurusd,1.08083,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-2.36,157980.63999999932
16616,41490763,2024-01-29 17:06:02,sell,0.02,eurusd,1.0808,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-2.42,157978.02999999933
16617,41490807,2024-01-29 17:07:03,sell,0.02,eurusd,1.08099,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-2.04,157975.79999999932
16618,41490847,2024-01-29 17:08:01,sell,0.02,eurusd,1.0811,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-1.82,157973.7899999993
16619,41490888,2024-01-29 17:11:01,sell,0.02,eurusd,1.0811,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-1.82,157971.7799999993
16620,41490929,2024-01-29 17:12:04,sell,0.02,eurusd,1.08117,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-1.68,157969.9099999993
16621,41490970,2024-01-29 17:15:02,sell,0.02,eurusd,1.0812,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-1.62,157968.0999999993
16622,41491010,2024-01-29 17:17:01,sell,0.02,eurusd,1.08125,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-1.52,157966.38999999932
16623,41491016,2024-01-29 17:18:02,sell,0.02,eurusd,1.08128,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-1.46,157964.7399999993
16626,41491172,2024-01-29 17:21:00,sell,0.02,eurusd,1.0815,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.2,0.0,0.01,-1.02,157964.2799999993
16627,41491228,2024-01-29 17:25:03,sell,0.03,eurusd,1.08155,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.3,0.0,0.01,-1.38,157962.6099999993
16628,41491276,2024-01-29 17:29:01,sell,0.03,eurusd,1.08158,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.3,0.0,0.01,-1.29,157961.0299999993
16629,41491316,2024-01-29 17:31:01,sell,0.03,eurusd,1.08159,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.3,0.0,0.01,-1.26,157959.4799999993
16640,41491923,2024-01-29 19:11:11,sell,0.03,eurusd,1.08167,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.3,0.0,0.01,-1.02,157964.8799999993
16642,41491968,2024-01-29 19:12:06,sell,0.03,eurusd,1.08173,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.3,0.0,0.01,-0.84,157964.13999999932
16648,41492248,2024-01-29 19:25:10,sell,0.03,eurusd,1.08178,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.3,0.0,0.01,-0.69,157965.5699999993
16649,41492297,2024-01-29 19:34:00,sell,0.03,eurusd,1.08178,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.3,0.0,0.01,-0.69,157964.5899999993
16650,41492334,2024-01-29 19:36:06,sell,0.04,eurusd,1.0818,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.4,0.0,0.01,-0.84,157963.35999999932
16651,41492381,2024-01-29 19:38:01,sell,0.04,eurusd,1.08184,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.4,0.0,0.01,-0.68,157962.2899999993
16652,41492428,2024-01-29 19:42:15,sell,0.04,eurusd,1.08194,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.4,0.0,0.01,-0.28,157961.61999999933
16653,41492492,2024-01-29 19:43:03,sell,0.04,eurusd,1.08198,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.4,0.0,0.01,-0.12,157961.10999999932
16654,41492585,2024-01-29 20:01:01,sell,0.04,eurusd,1.08246,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.4,0.0,0.01,1.8,157962.51999999932
16656,41492685,2024-01-29 20:02:00,sell,0.05,eurusd,1.08291,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.5,0.0,0.02,4.5,157967.01999999932
16657,41492780,2024-01-29 20:03:00,sell,0.05,eurusd,1.08308,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.5,0.0,0.02,5.35,157971.88999999934
16662,41492989,2024-01-29 20:12:13,sell,0.05,eurusd,1.08313,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.5,0.0,0.02,5.6,157978.83999999933
16663,41493049,2024-01-29 20:16:02,sell,0.05,eurusd,1.08331,0.0,1.08201,2024-01-30 06:47:32,1.08201,-0.5,0.0,0.02,6.5,157984.85999999935
