,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
645,40981618,2023-11-22 12:13:05,buy,0.01,eurusd,1.09079,0.0,1.09117,2023-11-22 13:02:24,1.09118,-0.06,0.0,0.0,0.39,107222.19000000002
647,40981645,2023-11-22 12:19:04,buy,0.01,eurusd,1.0908,0.0,1.09117,2023-11-22 13:02:24,1.09118,-0.06,0.0,0.0,0.38,107225.30000000002
648,40981658,2023-11-22 12:22:01,buy,0.01,eurusd,1.09061,0.0,1.09117,2023-11-22 13:02:24,1.09118,-0.06,0.0,0.0,0.57,107225.81000000003
649,40981663,2023-11-22 12:23:04,buy,0.01,eurusd,1.09058,0.0,1.09117,2023-11-22 13:02:24,1.09118,-0.06,0.0,0.0,0.6,107226.35000000002
650,40981666,2023-11-22 12:24:08,buy,0.01,eurusd,1.09056,0.0,1.09117,2023-11-22 13:02:24,1.09118,-0.06,0.0,0.0,0.62,107226.91000000002
651,40981669,2023-11-22 12:25:02,buy,0.01,eurusd,1.09043,0.0,1.09117,2023-11-22 13:02:24,1.09118,-0.06,0.0,0.0,0.75,107227.60000000002
652,40981670,2023-11-22 12:26:08,buy,0.01,eurusd,1.09032,0.0,1.09117,2023-11-22 13:02:24,1.09118,-0.06,0.0,0.0,0.86,107228.40000000002
