,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
653,40981817,2023-11-22 13:03:19,buy,0.01,eurusd,1.09098,0.0,1.09151,2023-11-22 13:20:39,1.09153,-0.06,0.0,0.0,0.55,107228.89000000001
655,40981840,2023-11-22 13:09:03,buy,0.01,eurusd,1.09101,0.0,1.09151,2023-11-22 13:20:39,1.09153,-0.06,0.0,0.0,0.52,107232.23000000003
656,40981869,2023-11-22 13:15:09,buy,0.01,eurusd,1.09081,0.0,1.09151,2023-11-22 13:20:39,1.09153,-0.06,0.0,0.0,0.72,107232.89000000001
657,40981875,2023-11-22 13:16:00,buy,0.01,eurusd,1.09085,0.0,1.09151,2023-11-22 13:20:39,1.09153,-0.06,0.0,0.0,0.68,107233.51000000002
