,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
2114,41019813,2023-11-28 23:23:07,buy,0.01,eurusd,1.10018,0.0,1.10061,2023-11-29 00:52:21,1.10062,-0.06,0.0,-0.07,0.44,110515.90000000007
2115,41019825,2023-11-28 23:24:01,buy,0.01,eurusd,1.10014,0.0,1.10061,2023-11-29 00:52:21,1.10062,-0.06,0.0,-0.07,0.48,110516.25000000007
2116,41019834,2023-11-28 23:25:00,buy,0.01,eurusd,1.10014,0.0,1.10061,2023-11-29 00:52:21,1.10062,-0.06,0.0,-0.07,0.48,110516.60000000006
2124,41020085,2023-11-29 00:04:02,buy,0.01,eurusd,1.10006,0.0,1.10061,2023-11-29 00:52:21,1.10062,-0.06,0.0,0.0,0.56,110570.10000000006
2125,41020094,2023-11-29 00:05:09,buy,0.01,eurusd,1.10004,0.0,1.10061,2023-11-29 00:52:21,1.10062,-0.06,0.0,0.0,0.58,110570.62000000007
2126,41020104,2023-11-29 00:07:02,buy,0.01,eurusd,1.09986,0.0,1.10061,2023-11-29 00:52:21,1.10062,-0.06,0.0,0.0,0.76,110571.32000000007
2127,41020115,2023-11-29 00:08:02,buy,0.01,eurusd,1.09983,0.0,1.10061,2023-11-29 00:52:21,1.10062,-0.06,0.0,0.0,0.79,110572.05000000008
2128,41020138,2023-11-29 00:12:03,buy,0.01,eurusd,1.0998,0.0,1.10061,2023-11-29 00:52:21,1.10062,-0.06,0.0,0.0,0.82,110572.81000000007
