,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
16386,41480128,2024-01-29 06:05:36,sell,0.01,eurusd,1.08399,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.1,0.0,0.0,-0.08,157728.14999999938
16387,41480169,2024-01-29 06:06:12,sell,0.01,eurusd,1.08403,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.1,0.0,0.0,-0.04,157728.00999999937
16388,41480205,2024-01-29 06:07:02,sell,0.01,eurusd,1.08402,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.1,0.0,0.0,-0.05,157727.85999999937
16389,41480243,2024-01-29 06:08:01,sell,0.01,eurusd,1.08405,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.1,0.0,0.0,-0.02,157727.73999999938
16390,41480281,2024-01-29 06:09:02,sell,0.01,eurusd,1.08409,0.0,1.08408,2024-01-29 07:50:59,1.08408,-0.1,0.0,0.0,0.01,157727.64999999938
16391,41480323,2024-01-29 06:10:11,sell,0.01,eurusd,1.0841,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.1,0.0,0.0,0.03,157727.57999999938
16392,41480360,2024-01-29 06:11:02,sell,0.01,eurusd,1.08411,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.1,0.0,0.0,0.04,157727.51999999938
16393,41480400,2024-01-29 06:12:03,sell,0.01,eurusd,1.08423,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.1,0.0,0.0,0.16,157727.57999999938
16394,41480440,2024-01-29 06:13:07,sell,0.01,eurusd,1.08426,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.1,0.0,0.0,0.19,157727.66999999937
16395,41480476,2024-01-29 06:14:03,sell,0.01,eurusd,1.08427,0.0,1.08408,2024-01-29 07:50:59,1.08408,-0.1,0.0,0.0,0.19,157727.75999999937
16396,41480516,2024-01-29 06:15:07,sell,0.02,eurusd,1.0843,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.46,157728.01999999938
16397,41480553,2024-01-29 06:16:02,sell,0.02,eurusd,1.0843,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.46,157728.2799999994
16398,41480592,2024-01-29 06:17:04,sell,0.02,eurusd,1.08429,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.44,157728.51999999938
16399,41480629,2024-01-29 06:18:04,sell,0.02,eurusd,1.08436,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.58,157728.89999999938
16400,41480743,2024-01-29 06:19:02,sell,0.02,eurusd,1.08441,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.68,157729.37999999936
16401,41480782,2024-01-29 06:20:04,sell,0.02,eurusd,1.08446,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.78,157729.95999999938
16402,41480822,2024-01-29 06:21:02,sell,0.02,eurusd,1.08444,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.74,157730.49999999936
16403,41480860,2024-01-29 06:22:02,sell,0.02,eurusd,1.08446,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.78,157731.07999999938
16404,41480941,2024-01-29 06:43:03,sell,0.02,eurusd,1.08453,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.92,157731.79999999938
16405,41480977,2024-01-29 06:44:02,sell,0.02,eurusd,1.08454,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.2,0.0,0.0,0.94,157732.53999999937
16406,41481018,2024-01-29 06:45:09,sell,0.03,eurusd,1.08455,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.3,0.0,0.0,1.44,157733.67999999938
16407,41481055,2024-01-29 06:46:10,sell,0.03,eurusd,1.08457,0.0,1.08408,2024-01-29 07:50:59,1.08408,-0.3,0.0,0.0,1.47,157734.8499999994
16408,41481094,2024-01-29 06:47:02,sell,0.03,eurusd,1.08461,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.3,0.0,0.0,1.62,157736.16999999937
16409,41481134,2024-01-29 06:48:01,sell,0.03,eurusd,1.0846,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.3,0.0,0.0,1.59,157737.45999999938
16410,41481171,2024-01-29 06:49:02,sell,0.03,eurusd,1.08467,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.3,0.0,0.0,1.8,157738.95999999938
16411,41481226,2024-01-29 06:58:04,sell,0.03,eurusd,1.08465,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.3,0.0,0.0,1.74,157740.39999999938
16412,41481261,2024-01-29 06:59:02,sell,0.03,eurusd,1.0847,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.3,0.0,0.0,1.89,157741.98999999938
16413,41481360,2024-01-29 07:31:05,sell,0.04,eurusd,1.08483,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.4,0.0,0.0,3.04,157744.62999999936
16414,41481410,2024-01-29 07:33:02,sell,0.04,eurusd,1.08488,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.4,0.0,0.0,3.24,157747.4699999994
16415,41481451,2024-01-29 07:34:07,sell,0.04,eurusd,1.0849,0.0,1.08408,2024-01-29 07:50:59,1.08408,-0.4,0.0,0.0,3.28,157750.3499999994
16416,41481504,2024-01-29 07:35:10,sell,0.04,eurusd,1.0849,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.4,0.0,0.0,3.32,157753.26999999938
16417,41481541,2024-01-29 07:36:02,sell,0.04,eurusd,1.0849,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.4,0.0,0.0,3.32,157756.1899999994
16419,41481584,2024-01-29 07:38:04,sell,0.05,eurusd,1.08495,0.0,1.08408,2024-01-29 07:50:59,1.08407,-0.5,0.0,0.0,4.4,157758.13999999937
