,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
12119,41290512,2024-01-11 16:50:15,buy,0.01,eurusd,1.09568,0.0,1.0952,2024-01-11 17:13:09,1.09519,-0.1,0.0,0.0,-0.49,147629.2999999993
12121,41290581,2024-01-11 16:51:01,buy,0.01,eurusd,1.09533,0.0,1.0952,2024-01-11 17:13:09,1.09519,-0.1,0.0,0.0,-0.14,147630.3999999993
12122,41290624,2024-01-11 16:52:00,buy,0.01,eurusd,1.09509,0.0,1.0952,2024-01-11 17:13:09,1.09519,-0.1,0.0,0.0,0.1,147630.3999999993
12123,41290659,2024-01-11 16:53:03,buy,0.01,eurusd,1.09475,0.0,1.0952,2024-01-11 17:13:09,1.09519,-0.1,0.0,0.0,0.44,147630.7399999993
12124,41290697,2024-01-11 16:54:03,buy,0.01,eurusd,1.09433,0.0,1.0952,2024-01-11 17:13:09,1.09519,-0.1,0.0,0.0,0.86,147631.4999999993
12125,41290733,2024-01-11 16:55:08,buy,0.01,eurusd,1.09403,0.0,1.0952,2024-01-11 17:13:09,1.09519,-0.1,0.0,0.0,1.16,147632.5599999993
12127,41290801,2024-01-11 16:56:01,buy,0.01,eurusd,1.09389,0.0,1.0952,2024-01-11 17:13:09,1.09519,-0.1,0.0,0.0,1.3,147631.2499999993
12128,41290839,2024-01-11 16:57:02,buy,0.01,eurusd,1.0938,0.0,1.0952,2024-01-11 17:13:09,1.09519,-0.1,0.0,0.0,1.39,147632.5399999993
