,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
14473,41390203,2024-01-19 16:07:03,buy,0.02,eurusd,1.08868,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,0.52,156034.37999999954
14475,41390273,2024-01-19 16:08:03,buy,0.02,eurusd,1.08861,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,0.66,156031.05999999953
14477,41390379,2024-01-19 16:13:03,buy,0.02,eurusd,1.08838,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,1.12,156028.27999999953
14478,41390417,2024-01-19 16:14:02,buy,0.02,eurusd,1.08837,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,1.14,156029.2199999995
14479,41390451,2024-01-19 16:15:06,buy,0.02,eurusd,1.08826,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,1.36,156030.37999999954
14482,41390613,2024-01-19 16:46:01,buy,0.02,eurusd,1.08817,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,1.54,156024.39999999953
14484,41390736,2024-01-19 17:11:01,buy,0.02,eurusd,1.08814,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,1.6,156022.17999999953
14485,41390773,2024-01-19 17:12:03,buy,0.02,eurusd,1.08809,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,1.7,156023.67999999953
14486,41390808,2024-01-19 17:13:01,buy,0.02,eurusd,1.08809,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,1.7,156025.17999999953
14487,41390845,2024-01-19 17:14:02,buy,0.02,eurusd,1.08804,0.0,1.08888,2024-01-19 17:26:48,1.08894,-0.2,0.0,0.0,1.8,156026.77999999953
