,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
17630,41540216,2024-02-01 15:27:04,buy,0.01,eurusd,1.0829,0.0,1.08329,2024-02-01 16:04:16,1.08332,-0.1,0.0,0.0,0.42,159746.81999999922
17634,41540372,2024-02-01 15:32:02,buy,0.01,eurusd,1.08284,0.0,1.08329,2024-02-01 16:04:16,1.08332,-0.1,0.0,0.0,0.48,159562.75999999922
17635,41540411,2024-02-01 15:33:06,buy,0.01,eurusd,1.0828,0.0,1.08329,2024-02-01 16:04:16,1.08332,-0.1,0.0,0.0,0.52,159563.17999999924
17636,41540458,2024-02-01 15:35:02,buy,0.01,eurusd,1.08268,0.0,1.08329,2024-02-01 16:04:16,1.08332,-0.1,0.0,0.0,0.64,159563.71999999922
17637,41540520,2024-02-01 15:46:01,buy,0.01,eurusd,1.08262,0.0,1.08329,2024-02-01 16:04:16,1.08332,-0.1,0.0,0.0,0.7,159564.31999999922
17638,41540562,2024-02-01 15:48:01,buy,0.01,eurusd,1.08263,0.0,1.08329,2024-02-01 16:04:16,1.08332,-0.1,0.0,0.0,0.69,159564.90999999922
17639,41540603,2024-02-01 15:49:04,buy,0.01,eurusd,1.08261,0.0,1.08329,2024-02-01 16:04:16,1.08332,-0.1,0.0,0.0,0.71,159565.51999999923
17640,41540641,2024-02-01 15:51:01,buy,0.01,eurusd,1.08252,0.0,1.08329,2024-02-01 16:04:16,1.08332,-0.1,0.0,0.0,0.8,159566.21999999922
