,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
13227,41338400,2024-01-16 14:37:03,sell,0.02,eurusd,1.08747,0.0,1.08713,2024-01-16 14:50:11,1.08712,-0.2,0.0,0.0,0.7,150131.34999999937
13229,41338466,2024-01-16 14:38:05,sell,0.02,eurusd,1.08763,0.0,1.08713,2024-01-16 14:50:11,1.08712,-0.2,0.0,0.0,1.02,150132.90999999936
13231,41338538,2024-01-16 14:40:12,sell,0.02,eurusd,1.08769,0.0,1.08713,2024-01-16 14:50:11,1.08712,-0.2,0.0,0.0,1.14,150134.48999999935
13232,41338573,2024-01-16 14:41:02,sell,0.02,eurusd,1.0877,0.0,1.08713,2024-01-16 14:50:11,1.08712,-0.2,0.0,0.0,1.16,150135.44999999937
13233,41338608,2024-01-16 14:42:01,sell,0.02,eurusd,1.08771,0.0,1.08713,2024-01-16 14:50:11,1.08712,-0.2,0.0,0.0,1.18,150136.42999999935
