,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
9596,41204650,2024-01-02 15:39:01,sell,0.01,eurusd,1.09528,0.0,1.09479,2024-01-02 15:52:05,1.09476,-0.1,0.0,0.0,0.52,143550.50999999975
9597,41204660,2024-01-02 15:40:04,sell,0.01,eurusd,1.09542,0.0,1.09479,2024-01-02 15:52:05,1.09476,-0.1,0.0,0.0,0.66,143551.06999999977
9598,41204666,2024-01-02 15:41:01,sell,0.01,eurusd,1.09537,0.0,1.09479,2024-01-02 15:52:05,1.09476,-0.1,0.0,0.0,0.61,143551.57999999975
