,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
8538,41180714,2023-12-27 15:02:24,buy,0.01,eurusd,1.11062,0.0,1.11088,2023-12-27 15:26:07,1.11089,-0.1,0.0,0.0,0.27,141299.32999999996
8542,41180751,2023-12-27 15:08:03,buy,0.01,eurusd,1.1103,0.0,1.11088,2023-12-27 15:26:07,1.11089,-0.1,0.0,0.0,0.59,141312.33999999994
8544,41180778,2023-12-27 15:15:03,buy,0.01,eurusd,1.10999,0.0,1.11088,2023-12-27 15:26:07,1.11089,-0.1,0.0,0.0,0.9,141317.61999999994
