,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
4672,41074894,2023-12-08 04:52:01,sell,0.01,eurusd,1.07845,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.23,113880.73000000023
4673,41074906,2023-12-08 04:53:02,sell,0.01,eurusd,1.0785,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.28,113880.95000000023
4682,41075060,2023-12-08 05:19:02,sell,0.01,eurusd,1.07854,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.32,113884.13000000024
4683,41075071,2023-12-08 05:20:06,sell,0.01,eurusd,1.07862,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.4,113884.47000000023
4684,41075102,2023-12-08 05:29:02,sell,0.01,eurusd,1.07867,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.45,113884.86000000023
4685,41075111,2023-12-08 05:30:03,sell,0.01,eurusd,1.07868,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.46,113885.26000000023
4686,41075129,2023-12-08 05:33:05,sell,0.01,eurusd,1.07869,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.47,113885.67000000023
4687,41075150,2023-12-08 05:38:06,sell,0.01,eurusd,1.07876,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.54,113886.15000000023
4688,41075164,2023-12-08 05:39:01,sell,0.01,eurusd,1.07879,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.57,113886.66000000024
4689,41075175,2023-12-08 05:40:11,sell,0.01,eurusd,1.07882,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.06,0.0,0.0,0.6,113887.20000000023
4690,41075187,2023-12-08 05:41:01,sell,0.02,eurusd,1.07879,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.12,0.0,0.0,1.14,113888.22000000023
4691,41075200,2023-12-08 05:42:06,sell,0.02,eurusd,1.07885,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.12,0.0,0.0,1.26,113889.36000000023
4692,41075210,2023-12-08 05:43:01,sell,0.02,eurusd,1.0789,0.0,1.07822,2023-12-08 06:51:15,1.07822,-0.12,0.0,0.0,1.36,113890.60000000024
