,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
11412,41258101,2024-01-09 14:34:00,buy,0.01,eurusd,1.09472,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.68,146346.44999999946
11416,41258257,2024-01-09 14:40:01,buy,0.01,eurusd,1.09471,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.67,146349.81999999945
11417,41258294,2024-01-09 14:41:01,buy,0.01,eurusd,1.09447,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.43,146348.28999999946
11418,41258331,2024-01-09 14:42:00,buy,0.01,eurusd,1.09445,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.41,146346.77999999945
11419,41258369,2024-01-09 14:43:04,buy,0.01,eurusd,1.09444,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.4,146345.27999999945
11420,41258407,2024-01-09 14:45:02,buy,0.01,eurusd,1.09435,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.31,146343.86999999947
11421,41258445,2024-01-09 14:46:00,buy,0.01,eurusd,1.09431,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.27,146342.49999999948
11422,41258481,2024-01-09 14:47:02,buy,0.01,eurusd,1.0943,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.26,146341.13999999946
11423,41258522,2024-01-09 14:50:11,buy,0.01,eurusd,1.09422,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.18,146339.85999999946
11424,41258562,2024-01-09 14:52:06,buy,0.01,eurusd,1.09412,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.1,0.0,0.0,-1.08,146338.67999999947
11425,41258662,2024-01-09 15:10:04,buy,0.02,eurusd,1.09401,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-1.94,146336.53999999946
11426,41258708,2024-01-09 15:13:05,buy,0.02,eurusd,1.09396,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-1.84,146334.49999999945
11427,41258772,2024-01-09 15:24:04,buy,0.02,eurusd,1.09394,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-1.8,146332.49999999945
11428,41258809,2024-01-09 15:25:02,buy,0.02,eurusd,1.09393,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-1.78,146330.51999999944
11429,41258847,2024-01-09 15:27:01,buy,0.02,eurusd,1.09384,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-1.6,146328.71999999945
11431,41258920,2024-01-09 15:28:02,buy,0.02,eurusd,1.09377,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-1.46,146327.42999999947
11432,41258956,2024-01-09 15:29:01,buy,0.02,eurusd,1.0936,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-1.12,146326.10999999946
11433,41258994,2024-01-09 15:31:02,buy,0.02,eurusd,1.09347,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-0.86,146325.04999999946
11434,41259031,2024-01-09 15:32:03,buy,0.02,eurusd,1.09337,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-0.66,146324.18999999945
11436,41259122,2024-01-09 15:41:05,buy,0.02,eurusd,1.09318,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.2,0.0,0.0,-0.28,146324.09999999945
11437,41259160,2024-01-09 15:42:01,buy,0.03,eurusd,1.09324,0.0,1.09303,2024-01-09 16:50:13,1.09304,-0.3,0.0,0.0,-0.6,146323.19999999946
