,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
11730,41272827,2024-01-10 14:42:21,sell,0.01,eurusd,1.09333,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-3.9,146633.53999999946
11731,41272895,2024-01-10 14:43:01,sell,0.01,eurusd,1.09356,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-3.67,146629.76999999944
11732,41272934,2024-01-10 14:44:05,sell,0.01,eurusd,1.09365,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-3.58,146626.08999999944
11733,41272973,2024-01-10 14:45:03,sell,0.01,eurusd,1.09369,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-3.54,146622.44999999943
11737,41273152,2024-01-10 14:59:04,sell,0.01,eurusd,1.09402,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-3.21,146630.49999999945
11738,41273189,2024-01-10 15:00:06,sell,0.01,eurusd,1.09405,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-3.18,146627.21999999945
11739,41273225,2024-01-10 15:01:02,sell,0.01,eurusd,1.09414,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-3.09,146624.02999999945
11740,41273262,2024-01-10 15:02:03,sell,0.01,eurusd,1.09418,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-3.05,146620.87999999945
11741,41273308,2024-01-10 15:07:01,sell,0.01,eurusd,1.09427,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-2.96,146617.81999999942
11742,41273344,2024-01-10 15:08:09,sell,0.01,eurusd,1.0943,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.1,0.0,0.0,-2.93,146614.78999999946
11743,41273384,2024-01-10 15:09:08,sell,0.02,eurusd,1.09437,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-5.72,146608.87999999942
11744,41273424,2024-01-10 15:11:08,sell,0.02,eurusd,1.09447,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-5.52,146603.16999999946
11747,41273498,2024-01-10 15:13:05,sell,0.02,eurusd,1.09448,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-5.5,146598.50999999946
11748,41273567,2024-01-10 15:14:02,sell,0.02,eurusd,1.09453,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-5.4,146592.91999999946
11749,41273608,2024-01-10 15:17:03,sell,0.02,eurusd,1.09463,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-5.2,146587.52999999945
11750,41273644,2024-01-10 15:18:06,sell,0.02,eurusd,1.0947,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-5.06,146582.27999999945
11751,41273682,2024-01-10 15:19:02,sell,0.02,eurusd,1.09473,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-5.0,146577.08999999944
11752,41273752,2024-01-10 15:30:11,sell,0.02,eurusd,1.09482,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-4.82,146572.07999999943
11753,41273803,2024-01-10 15:36:12,sell,0.02,eurusd,1.09587,0.0,1.09724,2024-01-11 08:06:09,1.09723,-0.2,0.0,0.01,-2.72,146569.16999999946
