,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
453,40978986,2023-11-22 01:16:28,buy,0.01,eurusd,1.09229,0.0,1.09099,2023-11-22 07:28:06,1.09098,-0.06,0.0,0.0,-1.31,107029.04000000001
454,40978987,2023-11-22 01:17:13,buy,0.01,eurusd,1.09214,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-1.15,107027.83000000002
455,40978992,2023-11-22 01:18:01,buy,0.01,eurusd,1.09219,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-1.2,107026.57000000002
456,40978995,2023-11-22 01:19:00,buy,0.01,eurusd,1.09213,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-1.14,107025.37000000001
457,40978998,2023-11-22 01:20:05,buy,0.01,eurusd,1.09199,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-1.0,107024.31000000001
458,40979003,2023-11-22 01:21:05,buy,0.01,eurusd,1.09177,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-0.78,107023.47000000002
459,40979012,2023-11-22 01:22:05,buy,0.01,eurusd,1.09168,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-0.69,107022.72000000002
460,40979015,2023-11-22 01:23:00,buy,0.01,eurusd,1.09137,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-0.38,107022.28000000001
461,40979020,2023-11-22 01:24:02,buy,0.01,eurusd,1.09128,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-0.29,107021.93000000002
462,40979021,2023-11-22 01:25:01,buy,0.01,eurusd,1.09123,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.06,0.0,0.0,-0.24,107021.63000000002
463,40979024,2023-11-22 01:26:05,buy,0.02,eurusd,1.09112,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,-0.26,107021.25000000001
464,40979026,2023-11-22 01:27:02,buy,0.02,eurusd,1.09107,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,-0.16,107020.97000000002
466,40979041,2023-11-22 01:28:01,buy,0.02,eurusd,1.09095,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,0.08,107020.81000000001
484,40979900,2023-11-22 05:16:02,buy,0.02,eurusd,1.09096,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,0.06,107031.78000000001
485,40979904,2023-11-22 05:17:00,buy,0.02,eurusd,1.0909,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,0.18,107031.84000000001
486,40979909,2023-11-22 05:18:02,buy,0.02,eurusd,1.09087,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,0.24,107031.96000000002
487,40979912,2023-11-22 05:19:00,buy,0.02,eurusd,1.09087,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,0.24,107032.08000000002
488,40979915,2023-11-22 05:20:04,buy,0.02,eurusd,1.09086,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,0.26,107032.22000000002
489,40979922,2023-11-22 05:21:07,buy,0.02,eurusd,1.09081,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,0.36,107032.46000000002
490,40979930,2023-11-22 05:22:09,buy,0.02,eurusd,1.09073,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.12,0.0,0.0,0.52,107032.86000000002
491,40979933,2023-11-22 05:23:03,buy,0.03,eurusd,1.09072,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.18,0.0,0.0,0.81,107033.49000000002
492,40979939,2023-11-22 05:25:05,buy,0.03,eurusd,1.09066,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.18,0.0,0.0,0.99,107034.30000000002
493,40979942,2023-11-22 05:27:00,buy,0.03,eurusd,1.09067,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.18,0.0,0.0,0.96,107035.08000000002
494,40979957,2023-11-22 05:28:04,buy,0.03,eurusd,1.09061,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.18,0.0,0.0,1.14,107036.04000000002
495,40980022,2023-11-22 05:47:00,buy,0.03,eurusd,1.09061,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.18,0.0,0.0,1.14,107037.00000000001
496,40980025,2023-11-22 05:48:00,buy,0.03,eurusd,1.09056,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.18,0.0,0.0,1.29,107038.11000000002
497,40980082,2023-11-22 06:03:08,buy,0.03,eurusd,1.09054,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.18,0.0,0.0,1.35,107039.28000000001
498,40980094,2023-11-22 06:06:04,buy,0.04,eurusd,1.09051,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.24,0.0,0.0,1.92,107040.96000000002
499,40980095,2023-11-22 06:07:02,buy,0.04,eurusd,1.09052,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.24,0.0,0.0,1.88,107042.60000000002
500,40980100,2023-11-22 06:08:02,buy,0.04,eurusd,1.09046,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.24,0.0,0.0,2.12,107044.48000000003
501,40980103,2023-11-22 06:09:01,buy,0.04,eurusd,1.09045,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.24,0.0,0.0,2.16,107046.40000000002
502,40980118,2023-11-22 06:10:01,buy,0.04,eurusd,1.09049,0.0,1.09099,2023-11-22 07:28:06,1.09099,-0.24,0.0,0.0,2.0,107048.16000000002
