,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
5682,41102901,2023-12-13 13:39:02,buy,0.05,eurusd,1.07979,0.0,1.08017,2023-12-13 13:53:53,1.0802,-0.3,0.0,0.0,2.05,120263.89000000028
5684,41102933,2023-12-13 13:40:33,buy,0.05,eurusd,1.07966,0.0,1.08017,2023-12-13 13:53:53,1.0802,-0.3,0.0,0.0,2.7,120276.49000000027
5685,41102955,2023-12-13 13:43:04,buy,0.05,eurusd,1.07959,0.0,1.08017,2023-12-13 13:53:53,1.0802,-0.3,0.0,0.0,3.05,120279.24000000027
5686,41102978,2023-12-13 13:45:26,buy,0.05,eurusd,1.07946,0.0,1.08017,2023-12-13 13:53:53,1.0802,-0.3,0.0,0.0,3.7,120282.64000000028
5687,41102996,2023-12-13 13:48:01,buy,0.05,eurusd,1.07941,0.0,1.08017,2023-12-13 13:53:53,1.0802,-0.3,0.0,0.0,3.95,120286.29000000027
