,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
12484,41306265,2024-01-12 14:04:03,buy,0.01,eurusd,1.0962,0.0,1.09629,2024-01-12 14:20:27,1.09633,-0.1,0.0,0.0,0.13,148062.8299999992
12486,41306375,2024-01-12 14:09:02,buy,0.01,eurusd,1.09571,0.0,1.09629,2024-01-12 14:20:27,1.09633,-0.1,0.0,0.0,0.62,148062.79999999923
12487,41306415,2024-01-12 14:10:01,buy,0.01,eurusd,1.09557,0.0,1.09629,2024-01-12 14:20:27,1.09633,-0.1,0.0,0.0,0.76,148063.4599999992
12488,41306454,2024-01-12 14:13:02,buy,0.01,eurusd,1.09539,0.0,1.09629,2024-01-12 14:20:27,1.09633,-0.1,0.0,0.0,0.94,148064.29999999923
