,Ticket,Open Time,Type,Volume,Item,Opening Price,S / L,T / P,Close Time,Closing Price,Commission,Taxes,Swap,Profit,Balance
12004,41285967,2024-01-11 13:44:06,sell,0.01,eurusd,1.09548,0.0,1.09537,2024-01-11 13:47:22,1.09535,-0.1,0.0,0.0,0.13,147552.90999999933
12005,41286007,2024-01-11 13:45:14,sell,0.01,eurusd,1.09593,0.0,1.09537,2024-01-11 13:47:22,1.09535,-0.1,0.0,0.0,0.58,147553.38999999932
12006,41286042,2024-01-11 13:46:00,sell,0.01,eurusd,1.09613,0.0,1.09537,2024-01-11 13:47:22,1.09535,-0.1,0.0,0.0,0.78,147554.06999999934
